

1701941878217 :: history :: {'symbol': 'NSE:COROMANDEL-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941878423 :: {'s': 'error', 'code': -300, 'message': ''}

1701941878933 :: history :: {'symbol': 'NSE:CROMPTON-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941879130 :: {'s': 'error', 'code': -300, 'message': ''}

1701941879662 :: history :: {'symbol': 'NSE:DABUR-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941879861 :: {'s': 'error', 'code': -300, 'message': ''}

1701941880377 :: history :: {'symbol': 'NSE:DALBHARAT-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941880655 :: {'s': 'error', 'code': -300, 'message': ''}

1701941881171 :: history :: {'symbol': 'NSE:INDIGO-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941881367 :: {'s': 'error', 'code': -300, 'message': ''}

1701941881878 :: history :: {'symbol': 'NSE:DEEPAKNTR-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941882083 :: {'s': 'error', 'code': -300, 'message': ''}

1701941882612 :: history :: {'symbol': 'NSE:DELTACORP-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941882857 :: {'s': 'error', 'code': -300, 'message': ''}

1701941883374 :: history :: {'symbol': 'NSE:BANKBARODA-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941883586 :: {'s': 'error', 'code': -300, 'message': ''}

1701941884114 :: history :: {'symbol': 'NSE:DLF-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941884315 :: {'s': 'error', 'code': -300, 'message': ''}

1701941884830 :: history :: {'symbol': 'NSE:INFY-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941885023 :: {'s': 'error', 'code': -300, 'message': ''}

1701941885535 :: history :: {'symbol': 'NSE:DRREDDY-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941885731 :: {'s': 'error', 'code': -300, 'message': ''}

1701941886261 :: history :: {'symbol': 'NSE:ESCORTS-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941886468 :: {'s': 'error', 'code': -300, 'message': ''}

